vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	sigma_neg	center_neg	gamma_neg	amplitude_pos	sigma_pos	center_pos	gamma_pos
50	10	0.47588224966	0.679673818908	14.9363777663	0.641020536768	9010.56794566	-11.7309200464	8.26775116722	-1.1920823922	4008.0344883	19.9325023968	9.12428322297	-3.21243408824
100	10	0.47588224966	0.679673818908	15.0309104338	0.629971412075	8987.38367146	-22.4647130178	10.220518866	2.07135611771	4001.00495892	16.7042955887	5.63827695248	-1.18820520969
50	15	0.47588224966	0.679673818908	13.9869390044	0.940050865889	8997.58826533	-13.5511218047	7.32222869462	-0.939814173437	3999.26770446	6.88934586238	17.6199966475	5.71651558787
100	15	0.47588224966	0.679673818908	14.0899870405	0.919591011958	8996.35154155	-22.9782520634	9.27901424097	1.87741447464	4002.70368666	5.23651060149	18.9498883776	19.2023721207
50	20	0.47588224966	0.679673818908	12.664685784	1.23066979419	8984.04417676	-19.2113753454	5.86214555088	0.419678712886	4007.33901144	12.5293168742	19.4209163387	0.167699830318
100	20	0.47588224966	0.679673818908	12.7847586525	1.19826233426	8994.25575248	-20.5467786381	6.97555805948	0.501611943134	4004.81897407	5.01158280579	26.7530210192	4.799369798
50	5	0.679673818908	0.841068670568	15.6207354871	0.335424097235	9001.226836	-16.7788823034	6.18346510488	0.0986406138492	4010.91070424	11.0366371144	7.93778431309	1.16824800787
100	5	0.679673818908	0.841068670568	15.7738521051	0.325713092536	8993.31797045	-19.5526874342	8.78604124534	0.797717672206	3996.98071012	17.7938860839	6.80199531349	-1.0930072115
50	10	0.679673818908	0.841068670568	14.9086623028	0.665568414534	9008.70471344	-21.1992825755	8.06901036275	1.31002516782	3984.15834848	6.72364402597	0.751300772443	12.8264555231
100	10	0.679673818908	0.841068670568	15.0567554257	0.644782059983	9005.8765892	-13.9273033107	7.28169700506	-0.545595784322	4001.61663247	13.1330500503	6.08159736414	0.150324343149
50	15	0.679673818908	0.841068670568	14.0893881549	0.926055462724	9011.19117121	-16.5774677631	6.12362747847	-0.173667554327	4011.40462532	7.28274446549	12.1126189426	2.33388031354
100	15	0.679673818908	0.841068670568	14.251115897	0.896484328778	8993.23382242	-20.8360538636	6.84894366139	0.82001930528	4008.68558608	14.2018183442	11.5888345084	0.280327750041
50	20	0.679673818908	0.841068670568	12.972806541	1.17687253865	9008.15227066	-12.9846307302	7.8533538801	-1.30300789285	4023.41171969	4.56136801396	33.8453381799	21.591773192
100	20	0.679673818908	0.841068670568	13.1385218846	1.13006469892	8995.77489934	-13.656394642	8.43004705429	-1.39839676691	4013.77770521	-2.20530023494	33.7232185221	3.09359607571
50	5	0.841068670568	0.981765356579	15.6580371637	0.318545183762	8999.08528333	-10.3230491317	8.30431856695	-0.876827506701	4019.88007896	11.5481758635	6.15499317748	0.509705188908
100	5	0.841068670568	0.981765356579	15.8510244732	0.306894782302	9001.3022223	-13.0322377303	8.33537337305	-0.378108636282	3999.05438496	18.7075885281	7.04712688166	-1.55687453485
50	10	0.841068670568	0.981765356579	15.0787816328	0.638574116497	9005.49274938	-13.5917522671	7.22460865169	-0.663204933022	4010.26320601	18.953871607	7.62182798582	-1.33021330062
100	10	0.841068670568	0.981765356579	15.2974624691	0.616524792348	8995.01597339	-16.480867874	7.06432176789	-0.060132786386	3997.14374102	9.1215986373	7.93080070124	2.00048172181
50	15	0.841068670568	0.981765356579	13.9285958061	0.9509639628	9017.32756227	-17.7895981244	6.0448555291	0.0439309322072	3989.69957198	19.8997900059	12.4942863784	-2.81295202437
100	15	0.841068670568	0.981765356579	14.1425764758	0.907664674712	8996.84366809	-13.521619628	7.77422076518	-1.0771580187	4003.82400972	4.71549272976	26.7691131514	11.3977612245
50	20	0.841068670568	0.981765356579	12.8675872137	1.1927088209	9008.64618192	-14.7862344399	7.13001797101	-0.65223065274	4010.07360583	6.36319099878	20.2871422623	1.97059318216
100	20	0.841068670568	0.981765356579	13.0886490296	1.13055461217	9009.99776623	-13.1386846122	8.77453184216	-1.69886806314	4006.9543686	0.93674145978	28.8625771661	2.05138649767
50	5	0.981765356579	1.11024233511	15.6208814326	0.342253192341	9012.80156429	-14.3253083196	7.07380330675	-0.216312287466	3990.09145781	19.0607424767	6.48094492177	-2.29136097826
100	5	0.981765356579	1.11024233511	15.8328310043	0.330714042127	9014.4587023	-13.1667912225	9.71604698383	-0.629487381423	4019.661451	11.3444199722	7.97350226652	0.745248866276
50	10	0.981765356579	1.11024233511	14.9591848097	0.669806554999	9005.50676023	-13.5817606248	7.26172412484	-0.598294172402	3997.33869504	10.2858649532	7.22392527147	0.996723605955
100	10	0.981765356579	1.11024233511	15.176366542	0.643723029746	9007.47299856	-10.475417405	10.0643639595	-1.8438235572	4008.50262528	12.4390748472	5.3897819574	0.240064039537
50	15	0.981765356579	1.11024233511	14.1402737366	0.917755100885	8998.71151912	-11.9215141325	8.74380145177	-1.75755629309	4021.29476632	18.8583473024	9.8853461165	-1.12715234008
100	15	0.981765356579	1.11024233511	14.4050643709	0.870114610593	9000.44239603	-21.6726488271	8.45173632131	0.916983554943	3998.00754989	4.05206897304	21.2701054547	11.5128911028
50	20	0.981765356579	1.11024233511	12.9273290952	1.20379632613	8995.19349578	-13.9300552672	7.713501965	-1.16053954618	3983.68005384	7.33987726164	29.0157899674	4.39918841545
