vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	sigma_neg	center_neg	gamma_neg	amplitude_pos	sigma_pos	center_pos	gamma_pos
50	10	0.679673818908	0.841068670568	7.4247144555	0.547452928791	8993.91135277	-5.91237352587	4.22836252521	-0.521402750606	3985.39016065	10.0288480311	3.93181484376	-2.61200475481
100	10	0.679673818908	0.841068670568	7.68012064351	0.50182810381	8996.32270815	-6.46198550186	3.9652930141	-0.323008551211	4004.8387895	3.09117126938	6.87933982255	4.46795414747
50	15	0.679673818908	0.841068670568	7.06145123927	0.817108560048	8982.79910828	-5.37960052171	4.37241161373	-1.26867770644	4000.77239047	4.01345534929	6.95124900148	5.55421846441
100	15	0.679673818908	0.841068670568	7.35297822358	0.728243472664	8999.47579814	-4.85055894518	5.45054320544	-1.90518746009	3991.84086455	9.83630511935	5.02930482856	-0.962206576548
50	20	0.679673818908	0.841068670568	6.63619772595	1.01406452066	8988.47187407	-6.23507669178	4.18977917151	-2.76992473756	3998.7789007	-1.0540388966	20.0194700009	5.25667174066
100	20	0.679673818908	0.841068670568	6.94506123198	0.893960490117	8986.74933058	-6.65225371613	4.46957864046	-0.796752469176	4010.3862491	-1.2579496157	18.5999340191	5.16477235829
50	5	0.841068670568	0.981765356579	7.7095192784	0.264602020533	9001.31963021	-9.77253037528	5.49658281498	1.29274221155	4009.42170326	3.97779740341	5.45748970003	4.27690424105
100	5	0.841068670568	0.981765356579	8.04814201047	0.229493682096	8995.94878454	-11.6904757219	8.33898355175	2.8829229445	4012.5999773	4.78338337557	6.09407446619	2.68990234208
50	10	0.841068670568	0.981765356579	7.48069023203	0.5212054559	8994.26138307	-5.6740447488	4.02133971432	-0.680045829419	4009.03926027	5.69872783094	3.28778112401	0.641166655705
100	10	0.841068670568	0.981765356579	7.84910810774	0.452041256377	9017.27436451	-5.04067084669	5.29140146927	-0.698788816199	4008.22924704	4.36544040958	6.51155750747	2.57479461622
50	15	0.841068670568	0.981765356579	7.14512109805	0.784019428421	9008.23782308	-6.60027409081	4.11536624299	-0.54171240544	3996.20741478	3.67103171919	10.2981477067	16.9656039114
100	15	0.841068670568	0.981765356579	7.532199193	0.681970730585	9019.58725804	-10.0980213	4.41759909963	0.619601721637	4008.60337512	1.4361546376	14.4602361987	6.11465047767
50	20	0.841068670568	0.981765356579	6.74638559448	0.976913282599	9003.76521293	-5.16212979897	4.80072571111	-1.81916469142	3998.15685508	2.70351386298	18.3293907079	15.8026994362
100	20	0.841068670568	0.981765356579	7.14008116997	0.827596479887	9008.66201697	-6.8661577011	4.65006343096	-0.559155842886	4001.17580515	14.1873128056	16.5469892187	-3.74668036501
50	5	0.981765356579	1.11024233511	7.72569113716	0.243225398889	9001.33900601	-4.84023089329	5.06528154756	-1.07873458455	3992.54599002	4.51249404944	4.01526538092	3.68506560535
100	5	0.981765356579	1.11024233511	8.12539423101	0.200291880465	9007.15190932	-2.91911286136	6.70973639226	-1.35633034068	4005.34099821	4.32972429583	5.02437160475	2.40130302474
50	10	0.981765356579	1.11024233511	7.47098545591	0.526908850679	9004.72450992	-10.5091485359	4.99362302234	1.39668449538	3981.52815678	4.92934038191	4.27783663122	1.24081585644
100	10	0.981765356579	1.11024233511	7.88042944092	0.442342186495	9000.66740083	-11.7119438239	7.09149310277	1.81859929265	4003.36451739	3.62770359588	7.94025614649	5.66907937313
50	15	0.981765356579	1.11024233511	7.15727460539	0.752756264427	8995.6210825	-8.29419328687	3.58917736772	0.119605409123	4011.83726113	3.43932644224	7.38075882191	3.44250809211
100	15	0.981765356579	1.11024233511	7.58959226247	0.626091830748	8999.91383479	-4.45469333668	6.45517242528	-1.69101356041	4021.10825151	11.6298759758	8.25857764421	-2.21491417001
50	20	0.981765356579	1.11024233511	6.71584149389	0.959987927373	8999.58765868	-7.34973625756	3.64070971494	-0.433285465116	3984.46770347	1.87112716828	12.3438525399	4.63115274383
100	20	0.981765356579	1.11024233511	7.15940537143	0.795642527995	8996.38362614	-6.99895634836	4.70512925206	-0.367701946103	4008.31091461	-1.32131855574	27.9166753594	11.7176532183
50	5	1.11024233511	1.23095941734	7.70643277914	0.296661136727	9019.62335961	-4.46010353225	5.01147337075	-0.812139333113	3995.40570728	5.95670699036	3.03225987296	0.754373429802
100	5	1.11024233511	1.23095941734	8.17475750648	0.245489962571	9000.42690955	-11.4995106749	7.54704090863	1.86292685878	4006.72249756	4.64760598119	5.33427925771	2.53097212799
50	10	1.11024233511	1.23095941734	7.5274104783	0.534518388671	9003.31420627	-7.60128726419	3.28069361005	0.0469377817238	3988.41043683	4.10178485726	5.62038899614	5.63775616819
100	10	1.11024233511	1.23095941734	8.01393443183	0.439190987389	9015.99931097	-5.37656014703	5.37280174817	-0.638548109312	3999.97307458	2.96141688592	6.86475688519	2.11158237903
50	15	1.11024233511	1.23095941734	7.17736137195	0.752102540699	8986.70702493	-4.94812810281	5.01076466524	-2.17304554854	4013.53914002	9.86320260549	5.57513731307	-1.74892260822
100	15	1.11024233511	1.23095941734	7.65488371912	0.620766966098	8991.08333264	-5.78779212027	5.44239826784	-0.886204523948	3996.24762294	0.655115859717	11.4557316366	3.67052945992
50	20	1.11024233511	1.23095941734	6.77317624818	0.932032373857	9009.48528507	-6.39258685112	4.08108524511	-0.86901202148	4007.57016149	1.38272801567	16.6860973004	8.44724503413
100	20	1.11024233511	1.23095941734	7.26443012239	0.740475683609	8984.90581325	-3.83256890501	7.14150434445	-3.50914123015	4003.59798441	13.466879649	13.5079651594	-3.22609721
50	5	1.23095941734	1.34670323449	7.75442127621	0.279863437547	9020.31954745	-4.15898998681	5.45092136314	-1.41243464291	3990.3214034	5.84693110837	2.86849481708	0.640482641755
100	5	1.23095941734	1.34670323449	8.24587178291	0.231797107288	8991.76356298	-5.02956469308	6.14439899338	-0.539179792547	3997.75322038	8.30285916433	3.73809571427	-0.210444299444
50	10	1.23095941734	1.34670323449	7.44690387311	0.541576053409	8986.01348572	-6.54469152973	3.45197367357	-0.269112666113	3996.35157612	9.26225242554	3.49668540578	-0.99607503418
100	10	1.23095941734	1.34670323449	7.96122245841	0.4428435816	8998.84679249	-6.57791830898	4.94995908403	-0.11316832361	3985.91991917	4.31723973224	5.53980323695	1.2472707705
50	15	1.23095941734	1.34670323449	7.0967410616	0.779171026423	9016.36975282	-4.99716259604	5.24642034385	-1.86074424066	3999.48808746	9.5244743193	5.82350498846	-1.23955157024
100	15	1.23095941734	1.34670323449	7.64301397625	0.633181290801	9000.7192096	-4.30020254998	5.87253180853	-1.34158606356	3998.549241	0.482733129304	15.5168136206	7.71812390099
50	20	1.23095941734	1.34670323449	6.86814942603	0.927883737282	9001.45503313	-5.30503515229	5.14210867478	-1.98068484817	3996.20977244	-1.20682213565	21.7856320196	10.9416710532
100	20	1.23095941734	1.34670323449	7.42690077367	0.734031411672	9002.68917918	-4.40213685653	7.3700739756	-2.30657151931	4007.01687013	-3.3019614201	17.5938807491	7.75490415206
50	5	1.34670323449	1.45945531245	7.73401674745	0.281125561395	9003.24869642	-12.2562520892	8.50194695897	3.4640403928	3982.4856666	5.70240558373	3.37557545778	1.45245608082
100	5	1.34670323449	1.45945531245	8.27434938447	0.228121334032	9014.63436668	-4.56650395925	6.66626809752	-0.671704922838	3994.41713225	4.19799580705	6.3825146708	3.34821415941
50	10	1.34670323449	1.45945531245	7.5169010898	0.520564449336	9006.69518006	-4.84427378095	5.0141954017	-1.34138163171	4010.34945462	7.85737612186	3.58018980555	-0.285127516431
100	10	1.34670323449	1.45945531245	8.07586173746	0.419395699842	9001.1095811	-5.38614447801	5.47540686941	-0.481210052555	3992.25982884	5.1635925737	5.38406564452	0.908012474792
50	15	1.34670323449	1.45945531245	7.22799800563	0.726515323308	8992.70701812	-4.89934266607	5.32688417998	-2.11958357239	3976.30003057	2.30234057708	7.99888019016	3.60177731538
100	15	1.34670323449	1.45945531245	7.77401215949	0.585106539137	8987.38155167	-9.963762667	5.24314232321	0.583546871277	4002.4778216	1.64972359903	13.2116407145	5.50558935618
50	20	1.34670323449	1.45945531245	6.85343008134	0.894741969342	8987.88945154	-10.2671202177	3.98635717015	0.728990425113	3991.61643209	-0.351662296836	17.4501342574	16.9509559301
100	20	1.34670323449	1.45945531245	7.41339669609	0.693706654676	9001.84722356	-5.10540008096	5.72173993289	-0.817802925701	4006.6086571	12.1839957523	14.3595904276	-2.86628471301
50	5	1.45945531245	1.57079632679	7.7805357465	0.268327771216	8994.00640758	-5.97431304016	4.20610901179	-0.519738603523	4000.947543	6.5260228316	2.61541626494	0.147166993749
100	5	1.45945531245	1.57079632679	8.34335606827	0.225475078082	9002.79807379	-4.60876681668	6.78242288029	-0.531841715395	4004.02284492	3.45102353299	7.48327383005	4.87661732278
50	10	1.45945531245	1.57079632679	7.55725551529	0.527787578796	9001.06997343	-7.65328734539	4.24434170012	0.00654744001088	3989.54637983	4.14745974254	5.93399255293	5.30454396509
100	10	1.45945531245	1.57079632679	8.10295377734	0.423431133685	8997.74708495	-11.6641252901	6.89728675296	1.26510920234	4003.41890188	3.63713301925	7.02001910675	2.67927476023
50	15	1.45945531245	1.57079632679	7.14097724576	0.766254771004	8991.41678724	-5.0754814576	5.29184032207	-1.54664645343	4009.82639034	2.87838027745	7.51911842738	3.15441349402
100	15	1.45945531245	1.57079632679	7.71506414258	0.611460020586	9005.70665072	-4.95803871342	5.83208347526	-1.21384013897	4009.89582779	0.464946082988	10.6642446534	2.99969776846
50	20	1.45945531245	1.57079632679	6.85093877163	0.948989585128	9008.642828	-5.55843832562	4.8359429255	-1.50778940765	4010.34510386	13.8612191523	11.0423008323	-1.2729227131
100	20	1.45945531245	1.57079632679	7.46188130829	0.74077851869	8988.69727762	-8.5805426656	4.67749279509	0.0309943684067	4000.69019936	-0.423443870467	24.4703694028	5.33534938938
