vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	center_neg	sigma_neg	gamma_neg	amplitude_pos	center_pos	sigma_pos	gamma_pos	amplitude_neg_std	center_neg_std	sigma_neg_std	gamma_neg_std	amplitude_pos_std	center_pos_std	sigma_pos_std	gamma_pos_std
50	10	0.47588224966	0.679673818908	14.9363777663	0.641020536768	8991.32191276	-13.9792359462	6.93317889477	-0.448240379527	3995.6004361	15.3065544675	5.78813267475	-0.290837320494	3.90381152341	3.96107035984	1.06786903514	1.07190811219	3.28846094414	2.55998225335	1.75723536304	1.63460101846
100	10	0.47588224966	0.679673818908	15.0309104338	0.629971412075	9003.88322164	-21.3924077934	8.93772788216	1.46371081737	3988.53146628	7.11351397779	10.6958177344	3.17849010707	5.29224383955	3.68754150195	1.1829535936	0.874961041248	6.2263363151	1.08152048227	1.40191614003	1.01459250616
50	15	0.47588224966	0.679673818908	13.9869390044	0.940050865889	8983.83429639	-13.1992816578	7.33953198506	-0.912527295007	3992.43119061	7.25843711638	16.0951066949	4.74652388773	5.39770935639	3.7441988958	0.9487565765	1.16776166864	6.5916257263	1.40021714407	3.23773158254	1.64787750689
100	15	0.47588224966	0.679673818908	14.0899870405	0.919591011958	8988.73494722	-20.0852830383	7.07843844751	0.528793168314	3999.88908631	4.97442557014	19.7855591374	6.67590865402	4.23828832814	3.92591538152	1.05613187784	0.921145071585	2.84514644359	1.103025549	3.41735007951	1.82852129862
50	20	0.47588224966	0.679673818908	12.664685784	1.23066979419	8993.08327495	-21.7484854079	6.82040615244	0.845383037141	3981.33790931	19.4964884977	23.8980078047	0.534146340444	1.94282903415	3.0148541482	1.12241111042	0.852324083649	4.37494426807	4.05843998275	3.63569429256	0.444102266362
100	20	0.47588224966	0.679673818908	12.7847586525	1.19826233426	8973.02508091	-17.1246268707	6.82149081288	-0.206389796916	3993.45148764	0.704602174536	26.9529709671	9.52935589624	8.02820426922	3.48393879909	1.34189989702	1.18774662453	3.61012207129	2.71362780604	6.17342055299	2.60192530817
50	5	0.679673818908	0.841068670568	15.6207354871	0.335424097235	9010.70758201	-13.3510113269	7.08821278974	-0.344312641586	4006.42153244	11.045288746	5.60910719087	1.42895824461	4.82404263509	3.01716086951	1.31800956857	0.856345244223	4.10701327587	1.71177413422	1.22301188818	1.34297847326
100	5	0.679673818908	0.841068670568	15.7738521051	0.325713092536	9007.64629381	-10.0491309787	9.6078297294	-1.20699416564	3984.31523733	12.6148443689	5.44675306262	0.452315669808	2.75757880924	1.34044481732	1.01455942171	0.540533574963	3.77023304755	3.74011725554	1.13591947441	1.27660376151
50	10	0.679673818908	0.841068670568	14.9086623028	0.665568414534	9002.61921919	-20.6356256192	7.45201806383	1.06329361357	4021.80046998	8.71486529328	9.42843862863	2.34507975746	2.68340635825	4.51450202743	0.914557991969	1.25846608427	7.03268539235	3.91472576049	1.19302735571	1.32206463967
100	10	0.679673818908	0.841068670568	15.0567554257	0.644782059983	9007.1510685	-22.4927157936	9.09238605341	1.41384013335	3991.22278568	8.09142614826	10.5365253632	3.67151870247	2.99781337356	3.11199502753	0.924594902319	0.808799079699	4.15088699207	1.941277173	1.81863558381	1.15828071146
50	15	0.679673818908	0.841068670568	14.0893881549	0.926055462724	8994.27015333	-20.67684731	6.8303894922	0.899938427756	3988.9596956	5.52072800973	22.2368274069	14.2850188177	3.4378183825	4.36242147924	0.938050536546	1.23110481041	5.17700057758	1.42166305217	4.15860542468	5.00763029268
